place_id,name,type,subtype,tier,capacity,parent_id
16,cell_A_bottom_17,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
17,cell_A_bottom_18,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
18,cell_A_bottom_19,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
19,cell_A_bottom_20,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
20,cell_A_bottom_21,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
21,cell_A_bottom_22,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
22,cell_A_bottom_23,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
23,cell_A_bottom_24,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
24,cell_A_bottom_25,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
25,cell_A_bottom_26,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
26,cell_A_bottom_27,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
27,cell_A_bottom_28,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
28,cell_A_bottom_29,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2012
29,cell_A_top_1,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
30,cell_A_top_2,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
31,cell_A_top_3,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
32,cell_A_top_4,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
33,cell_A_top_5,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
34,cell_A_top_6,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
35,cell_A_top_7,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
36,cell_A_top_8,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
37,cell_A_top_9,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
38,cell_A_top_10,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
39,cell_A_top_11,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
40,cell_A_top_12,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
41,cell_A_top_13,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
42,cell_A_top_14,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
43,cell_A_top_15,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
44,cell_A_top_16,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
45,cell_A_top_17,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
46,cell_A_top_18,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
47,cell_A_top_19,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
48,cell_A_top_20,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
49,cell_A_top_21,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
50,cell_A_top_22,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
51,cell_A_top_23,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
52,cell_A_top_24,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
53,cell_A_top_25,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
54,cell_A_top_26,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
55,cell_A_top_27,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
56,cell_A_top_28,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
57,cell_A_top_29,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2012
58,cell_B_bottom_1,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
59,cell_B_bottom_2,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
60,cell_B_bottom_3,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
61,cell_B_bottom_4,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
62,cell_B_bottom_5,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
63,cell_B_bottom_6,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
64,cell_B_bottom_7,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
65,cell_B_bottom_8,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
66,cell_B_bottom_9,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
67,cell_B_bottom_10,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
68,cell_B_bottom_11,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
69,cell_B_bottom_12,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
70,cell_B_bottom_13,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
71,cell_B_bottom_14,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
72,cell_B_bottom_15,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
73,cell_B_bottom_16,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
74,cell_B_bottom_17,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
75,cell_B_bottom_18,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
76,cell_B_bottom_19,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
77,cell_B_bottom_20,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
78,cell_B_bottom_21,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
79,cell_B_bottom_22,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
80,cell_B_bottom_23,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
81,cell_B_bottom_24,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
82,cell_B_bottom_25,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
83,cell_B_bottom_26,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
84,cell_B_bottom_27,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
85,cell_B_bottom_28,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
86,cell_B_bottom_29,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2013
87,cell_B_top_1,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
88,cell_B_top_2,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
89,cell_B_top_3,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
90,cell_B_top_4,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
91,cell_B_top_5,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
92,cell_B_top_6,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
93,cell_B_top_7,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
94,cell_B_top_8,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
95,cell_B_top_9,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
96,cell_B_top_10,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
97,cell_B_top_11,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
98,cell_B_top_12,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
99,cell_B_top_13,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
100,cell_B_top_14,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
101,cell_B_top_15,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
102,cell_B_top_16,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
103,cell_B_top_17,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
104,cell_B_top_18,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
105,cell_B_top_19,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
106,cell_B_top_20,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
107,cell_B_top_21,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
108,cell_B_top_22,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
109,cell_B_top_23,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
110,cell_B_top_24,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
111,cell_B_top_25,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
112,cell_B_top_26,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
113,cell_B_top_27,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
114,cell_B_top_28,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
115,cell_B_top_29,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2013
116,cell_C_bottom_1,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
117,cell_C_bottom_2,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
118,cell_C_bottom_3,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
119,cell_C_bottom_4,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
120,cell_C_bottom_5,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
121,cell_C_bottom_6,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
122,cell_C_bottom_7,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
123,cell_C_bottom_8,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
124,cell_C_bottom_9,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
125,cell_C_bottom_10,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
126,cell_C_bottom_11,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
127,cell_C_bottom_12,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
128,cell_C_bottom_13,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
129,cell_C_bottom_14,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
130,cell_C_bottom_15,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
131,cell_C_bottom_16,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
132,cell_C_bottom_17,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
133,cell_C_bottom_18,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
134,cell_C_bottom_19,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
135,cell_C_bottom_20,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
136,cell_C_bottom_21,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
137,cell_C_bottom_22,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
138,cell_C_bottom_23,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
139,cell_C_bottom_24,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
140,cell_C_bottom_25,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
141,cell_C_bottom_26,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
142,cell_C_bottom_27,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
143,cell_C_bottom_28,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
144,cell_C_bottom_29,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2014
145,cell_C_top_1,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
146,cell_C_top_2,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
147,cell_C_top_3,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
148,cell_C_top_4,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
149,cell_C_top_5,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
150,cell_C_top_6,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
151,cell_C_top_7,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
152,cell_C_top_8,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
153,cell_C_top_9,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
154,cell_C_top_10,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
155,cell_C_top_11,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
156,cell_C_top_12,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
157,cell_C_top_13,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
158,cell_C_top_14,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
159,cell_C_top_15,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
160,cell_C_top_16,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
161,cell_C_top_17,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
162,cell_C_top_18,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
163,cell_C_top_19,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
164,cell_C_top_20,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
165,cell_C_top_21,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
166,cell_C_top_22,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
167,cell_C_top_23,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
168,cell_C_top_24,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
169,cell_C_top_25,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
170,cell_C_top_26,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
171,cell_C_top_27,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
172,cell_C_top_28,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
173,cell_C_top_29,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2014
174,cell_D_bottom_1,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
175,cell_D_bottom_2,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
176,cell_D_bottom_3,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
177,cell_D_bottom_4,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
178,cell_D_bottom_5,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
179,cell_D_bottom_6,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
180,cell_D_bottom_7,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
181,cell_D_bottom_8,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
182,cell_D_bottom_9,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
183,cell_D_bottom_10,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
184,cell_D_bottom_11,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
185,cell_D_bottom_12,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
186,cell_D_bottom_13,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
187,cell_D_bottom_14,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
188,cell_D_bottom_15,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
189,cell_D_bottom_16,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
190,cell_D_bottom_17,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
191,cell_D_bottom_18,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
192,cell_D_bottom_19,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
193,cell_D_bottom_20,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
194,cell_D_bottom_21,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
195,cell_D_bottom_22,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
196,cell_D_bottom_23,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
197,cell_D_bottom_24,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
198,cell_D_bottom_25,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
199,cell_D_bottom_26,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
200,cell_D_bottom_27,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
201,cell_D_bottom_28,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
202,cell_D_bottom_29,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2015
203,cell_D_top_1,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
204,cell_D_top_2,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
205,cell_D_top_3,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
206,cell_D_top_4,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
207,cell_D_top_5,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
208,cell_D_top_6,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
209,cell_D_top_7,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
210,cell_D_top_8,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
211,cell_D_top_9,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
212,cell_D_top_10,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
213,cell_D_top_11,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
214,cell_D_top_12,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
215,cell_D_top_13,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
216,cell_D_top_14,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
217,cell_D_top_15,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
218,cell_D_top_16,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
219,cell_D_top_17,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
220,cell_D_top_18,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
221,cell_D_top_19,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
222,cell_D_top_20,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
223,cell_D_top_21,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
224,cell_D_top_22,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
225,cell_D_top_23,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
226,cell_D_top_24,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
227,cell_D_top_25,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
228,cell_D_top_26,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
229,cell_D_top_27,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
230,cell_D_top_28,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
231,cell_D_top_29,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2015
232,cell_E_bottom_1,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
233,cell_E_bottom_2,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
234,cell_E_bottom_3,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
235,cell_E_bottom_4,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
236,cell_E_bottom_5,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
237,cell_E_bottom_6,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
238,cell_E_bottom_7,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
239,cell_E_bottom_8,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
240,cell_E_bottom_9,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
241,cell_E_bottom_10,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
242,cell_E_bottom_11,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
243,cell_E_bottom_12,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
244,cell_E_bottom_13,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
245,cell_E_bottom_14,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
246,cell_E_bottom_15,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
247,cell_E_bottom_16,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
248,cell_E_bottom_17,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
249,cell_E_bottom_18,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
250,cell_E_bottom_19,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
251,cell_E_bottom_20,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
252,cell_E_bottom_21,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
253,cell_E_bottom_22,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
254,cell_E_bottom_23,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
255,cell_E_bottom_24,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
256,cell_E_bottom_25,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
257,cell_E_bottom_26,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
258,cell_E_bottom_27,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
259,cell_E_bottom_28,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
260,cell_E_bottom_29,cell,gp,"{'name': 'bottom', 'cells_per_tier': 29}",2,2016
261,cell_E_top_1,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
262,cell_E_top_2,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
263,cell_E_top_3,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
264,cell_E_top_4,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
265,cell_E_top_5,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
266,cell_E_top_6,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
267,cell_E_top_7,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
268,cell_E_top_8,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
269,cell_E_top_9,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
270,cell_E_top_10,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
271,cell_E_top_11,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
272,cell_E_top_12,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
273,cell_E_top_13,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
274,cell_E_top_14,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
275,cell_E_top_15,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
276,cell_E_top_16,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
277,cell_E_top_17,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
278,cell_E_top_18,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
279,cell_E_top_19,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
280,cell_E_top_20,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
281,cell_E_top_21,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
282,cell_E_top_22,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
283,cell_E_top_23,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
284,cell_E_top_24,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
285,cell_E_top_25,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
286,cell_E_top_26,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
287,cell_E_top_27,cell,gp,"{'name': 'top', 'cells_per_tier': 29}",2,2016
